id_articolo,nome_articolo,unita_misura,famiglia,tipologia
8,"SMP - LATTE SCREMATO IN POLVERE","KG","LATTE","TRADIZIONALE"
10,"SMP - LATTE SCREMATO IN POLVERE","KG","POLVERE LATTE","TRADIZIONALE"
17,"WHEY BUTTER - BURRO DI SIERO","KG","BURRO","TRADIZIONALE"
18,"EMMENTHAL","KG","CASEARI","TRADIZIONALE"
20,"CREAM 40% - PANNA 40%","KG","PANNA","TRADIZIONALE"
21,"GOAT MILK - LATTE DI CAPRA","LTR","LATTE","TRADIZIONALE"
22,"SHEEP MILK - LATTE DI PECORA","LTR","LATTE","TRADIZIONALE"
25,"BUTTEROIL - BURRO ANIDRO","KG","BURRO","TRADIZIONALE"
28,"SWEET CREAM 82 - BURRO 82%","KG","BURRO","TRADIZIONALE"
29,"BURRO ITALIANO","KG","BURRO","TRADIZIONALE"
30,"MIZITHRA","KG","CASEARI","TRADIZIONALE"
31,"GRAVIERA","KG","CASEARI","TRADIZIONALE"
34,"CHEESE FOR GRATING","KG","CASEARI","TRADIZIONALE"
35,"CREAM 40% - PANNA 40%","KG","PANNA","BIO"
38,"RAW MILK - LATTE CRUDO","KG","LATTE","TRADIZIONALE"
40,"PASTEURIZED MILK 3,5 - INTERO PASTORIZZATO","KG","LATTE","TRADIZIONALE"
41,"GOAT CREAM - PANNA DI CAPRA","KG","PANNA","TRADIZIONALE"
44,"LACTIC BUTTER - BURRO LACTIC","KG","BURRO","TRADIZIONALE"
47,"YOGURT LIQUIDO","KG","YOGURT","TRADIZIONALE"
51,"NOP LIQUID RAW MILK - LATTE CRUDO NOP","KG","LATTE","BIO"
52,"IRISH SWEET CREAM BUTTER - BURRO IRLANDESE","KG","BURRO","TRADIZIONALE"
55,"FCMP - LATTE INTERO IN POLVERE","KG","POLVERE LATTE","TRADIZIONALE"
56,"LATTERIA MAGRO","KG","CASEARI","TRADIZIONALE"
57,"UK CHEDDAR WHITE - CHEDDAR BIANCO UK","KG","CASEARI","TRADIZIONALE"
61,"MARGARINA","KG","GRASSI VEGETALI","TRADIZIONALE"
62,"BMP - LATTICELLO","KG","POLVERE LATTE","TRADIZIONALE"
68,"BEEF LARGE BAVETTE - SPUNTATURA DI LOMBATA","KG","CARNE BOVINA","BIO"
72,"BURRO DI AFFIORAMENTO","KG","BURRO","TRADIZIONALE"
73,"YOGURT IN POLVERE","KG","YOGURT","TRADIZIONALE"
32,"PANNA DI AFFIORAMENTO","KG","PANNA","TRADIZIONALE"
74,"GOAT MILK - LATTE DI CAPRA","KG","LATTE","BIO"
76,"GOUDA","KG","CASEARI","TRADIZIONALE"
78,"ROASTBEEF","KG","CARNE BOVINA","BIO"
80,"CHEDDAR OFFCUTS - RITAGLI DI CHEDDAR","KG","CASEARI","TRADIZIONALE"
81,"MILK 2% - LATTE 2%","KG","LATTE","TRADIZIONALE"
83,"S3 = PORC 70/30","KG","CARNE SUINA","BIO"
84,"PORK SILVERSIDE","KG","CARNE SUINA","BIO"
85,"STINCO RINDLESS","KG","CARNE SUINA","BIO"
88,"BELLY-PANCETTA","KG","CARNE SUINA","BIO"
91,"SHEEP MILK - LATTE DI PECORA","KG","LATTE","BIO"
92,"CAGLIATA","KG","CASEARI","TRADIZIONALE"
93,"ORGANIC BEEF TOPSIDE","KG","CARNE BOVINA","BIO"
98,"BEEF HEARTS - CUORI BOVINI","KG","CARNE BOVINA","BIO"
99,"MOZZARELLA","KG","CASEARI","BIO"
100,"THICK FLANK  - NOCE","KG","CARNE SUINA","BIO"
101,"BEEF KIDNEYS - RENI BOVINI","KG","CARNE BOVINA","BIO"
102,"BEEF LIVER - FEGATO BOVINO","KG","CARNE BOVINA","BIO"
104,"GOAT MILK POWDER - LATTE DI CAPRA IN POLVERE","KG","POLVERE LATTE","TRADIZIONALE"
105,"ORGANIC NECKS-COPPE BIO","KG","CARNE SUINA","BIO"
106,"CHEESE-FORMAGGI","KG","CASEARI","BIO"
107,"MOZZARELLA","KG","CASEARI","TRADIZIONALE"
108,"BRIE CHEESE-OFFCUTS, RITAGLI DI BRIE","KG","CASEARI","TRADIZIONALE"
109,"PIZZATOPPING","KG","CASEARI","TRADIZIONALE"
111,"SWP - SIERO DOLCE IN POLVERE","KG","POLVERE LATTE","TRADIZIONALE"
112,"LACTOSE - LATTOSIO","KG","POLVERE LATTE","TRADIZIONALE"
114,"VANILLINA FCC PURE100%","KG","AROMI","TRADIZIONALE"
115,"CHEESE POWDER","kg","CASEARI","TRADIZIONALE"
116,"FAT FILLED WHEY POWDER - SIERO GRASSATO","kg","POLVERE LATTE","TRADIZIONALE"
117,"BURRO SALATO - SALTED BUTTER","KG","BURRO","TRADIZIONALE"
118,"MAASDAM","KG","CASEARI","TRADIZIONALE"
119,"EDAMER","KG","CASEARI","TRADIZIONALE"
120,"PERMEATE - PERMEATO","KG","POLVERE LATTE","TRADIZIONALE"
121,"WPC - SIERO PROTEINE","KG","POLVERE LATTE","TRADIZIONALE"
122,"DEMINERALIZED WHEY POWDER - SIERO DEMINERALIZZATO","KG","POLVERE LATTE","TRADIZIONALE"
123,"SHEEP MILK POWDER","kg","POLVERE LATTE","TRADIZIONALE"
124,"FILETTO","KG","CARNE SUINA","BIO"
126,"SHEEP WHEY LIQUID-SIERO DI PECORA LIQUIDO","KG","LATTE","TRADIZIONALE"
127,"DEMETER MILK-LATTE DEMETER","kg","LATTE","BIO"
128,"SHEEP CREAM - PANNA DI PECORA","KG","PANNA","TRADIZIONALE"
129,"HAVARTI","KG","CASEARI","TRADIZIONALE"
131,"CHEESE-FORMAGGI","KG","CASEARI","TRADIZIONALE"
130,"SMC - SCREMATO CONCENTRATO IN CISTERNA","KG","LATTE","TRADIZIONALE"
132,"GRANA PADANO DECLASSATO","KG","CASEARI","TRADIZIONALE"
133,"GOAT CAGLIATA  - CAGLIATA DI CAPRA","KG","CASEARI","BIO"
134,"PECORINO DOP","KG","CASEARI","TRADIZIONALE"
135,"LARDELLO - LARDELLO","KG","CARNE SUINA","BIO"
136,"PORK TENDERLOIN","KG","CARNE SUINA","BIO"
137,"ORGANIC PORK TOPSIDE - FESE SUINE BIO","KG","CARNE SUINA","BIO"
140,"R 2 TRIMMING 80/20","KG","CARNE SUINA","BIO"
141,"R1 TRIMMING 90/10","KG","CARNE SUINA","BIO"
142,"STINCO","KG","CARNE SUINA","BIO"
143,"GOAT BUTTER - BURRO DI CAPRA","KG","BURRO","TRADIZIONALE"
144,"PARMIGIANO REGGIANO MEZZANO","KG","CASEARI","TRADIZIONALE"
145,"ORGANIC BEEF BINDEN","KG","CARNE BOVINA","BIO"
147,"SODIUM CASEINATE-SODIO CASEINATO",,"POLVERE LATTE","TRADIZIONALE"
148,"PECORINO DOP PEPATO","KG","CASEARI","TRADIZIONALE"
149,"swp 50% demin.-siero dolce in plv.demin.","KG","POLVERE LATTE","TRADIZIONALE"
151,"LOW PASTEURIZED MILK - LATTE A BASSA PASTORIZZAZIO","KG","LATTE","TRADIZIONALE"
155,"ORGANIC BACK FAT","KG","CARNE SUINA","BIO"
157,"MOZZARELLA","KG","CASEARI","TRADIZIONALE"
