id_cerca,compratore,articolo,note
1,1,8,
4,2,37,
5,3,20,
6,4,29,
7,5,37,
8,6,37,
9,7,25,
10,8,38,
11,9,38,
12,10,37,
13,11,37,
14,12,29,
15,12,33,
17,12,17,
18,13,25,
19,14,33,
20,14,29,
21,15,33,
22,15,25,
23,15,19,
24,16,14,
26,1,26,
27,1,22,
28,3,21,
30,3,41,
31,17,22,
32,18,40,
33,19,33,
34,22,22,
35,21,22,
36,23,38,
38,95,26,
39,95,38,
40,95,40,
41,6,40,
42,6,38,
43,6,26,
44,6,8,
45,96,38,
46,96,40,
47,96,26,
48,97,40,
49,97,38,
50,97,26,
51,5,40,
52,5,38,
53,5,26,
54,25,40,
55,25,38,
56,25,26,
57,41,40,
58,41,26,
59,41,38,
60,8,40,
61,8,26,
62,57,40,
63,57,26,
64,57,38,
65,1,40,
66,1,38,
67,100,40,
68,100,38,
69,100,26,
70,101,40,
71,101,26,
72,101,38,
73,102,40,
74,102,38,
75,102,26,
76,3,40,
77,3,26,
78,3,38,
79,103,40,
80,103,26,
81,103,38,
82,104,40,
83,104,38,
84,104,26,
85,17,40,
86,17,26,
87,17,38,
88,105,40,
89,105,26,
90,105,38,
91,18,26,
92,18,38,
93,106,40,
94,106,38,
95,106,26,
96,107,40,
97,107,26,
98,107,38,
99,108,40,
100,108,38,
101,108,26,
102,109,26,
103,109,38,
104,109,40,
105,2,38,
106,2,40,
107,2,26,
108,68,40,
109,68,26,
110,68,38,
111,4,40,
112,4,26,
113,4,38,
114,63,40,
115,63,38,
116,63,26,
117,21,40,
118,21,38,
119,21,26,
120,110,40,
121,110,38,
122,110,26,
123,111,40,
124,111,38,
125,111,26,
126,112,40,
127,112,38,
128,112,26,
129,113,40,
130,113,26,
131,113,38,
132,114,40,
133,114,38,
134,114,26,
135,115,40,
136,115,38,
137,115,26,
138,117,8,
139,117,37,
140,118,8,
141,118,37,
142,1,37,
143,119,8,
144,119,37,
145,120,79,
146,120,37,
147,121,37,
148,121,8,
149,122,8,
150,122,37,
151,123,8,
152,123,37,
153,124,8,
154,124,37,
155,125,8,
156,125,37,
157,126,8,
158,126,37,
159,127,8,
160,127,37,
161,128,8,
162,128,37,
163,129,8,
164,129,37,
165,130,8,
166,130,37,
167,61,8,
168,61,37,
169,27,8,
170,27,37,
171,97,8,
172,97,37,
173,36,8,
174,36,37,
175,106,8,
176,106,37,
177,95,8,
178,95,37,
179,5,8,
180,11,8,
181,101,37,
182,101,8,
183,21,37,
184,21,8,
185,63,37,
186,63,8,
187,62,37,
188,62,8,
189,110,37,
190,110,8,
191,2,8,
192,132,62,
193,132,89,
194,132,55,
195,132,86,
196,132,10,
197,132,60,
198,133,62,
199,133,89,
200,133,55,
201,133,86,
202,133,10,
203,133,60,
204,134,62,
205,134,89,
206,134,55,
207,134,86,
208,134,10,
209,134,60,
210,135,62,
211,135,89,
212,135,55,
213,135,86,
214,135,10,
215,135,60,
216,136,62,
217,136,89,
218,136,55,
219,136,86,
220,136,10,
221,136,60,
222,137,62,
223,137,89,
224,137,55,
225,137,86,
226,137,10,
227,137,60,
228,138,62,
229,138,89,
230,138,55,
231,138,86,
232,138,10,
233,138,60,
234,76,62,
235,76,89,
236,76,55,
237,76,86,
238,76,10,
239,76,60,
240,139,62,
241,139,89,
242,139,55,
243,139,86,
244,139,10,
245,139,60,
246,140,62,
247,140,89,
248,140,55,
249,140,86,
250,140,10,
251,140,60,
252,19,62,
253,19,89,
254,19,55,
255,19,86,
256,19,10,
257,19,60,
258,47,62,
259,47,89,
260,47,55,
261,47,86,
262,47,10,
263,47,60,
264,60,62,
265,60,89,
266,60,55,
267,60,86,
268,60,60,
269,60,10,
270,49,62,
271,49,89,
272,49,55,
273,49,86,
274,49,10,
275,49,60,
276,7,62,
277,7,89,
278,7,55,
279,7,86,
280,7,10,
281,7,60,
282,114,62,
283,114,89,
284,114,55,
285,114,86,
286,114,10,
287,114,60,
294,142,62,
295,142,89,
296,142,55,
297,142,86,
298,142,10,
299,142,60,
300,143,62,
301,143,89,
302,143,55,
303,143,86,
304,143,10,
305,143,60,
306,144,62,
307,144,89,
308,144,55,
309,144,86,
310,144,10,
311,144,60,
312,145,62,
313,145,89,
314,145,55,
315,145,86,
316,145,10,
317,145,60,
318,146,62,
319,146,89,
320,146,55,
321,146,86,
322,146,10,
323,146,60,
324,147,62,
325,147,89,
326,147,55,
327,147,86,
328,147,10,
329,147,60,
330,148,10,
331,148,62,
332,148,89,
333,148,55,
334,148,86,
335,148,60,
336,149,62,
337,149,89,
338,149,55,
339,149,86,
340,149,10,
341,149,60,
342,150,62,
343,150,89,
344,150,55,
345,150,86,
346,150,10,
347,150,60,
348,152,62,
349,152,89,
350,152,55,
351,152,86,
352,152,10,
353,152,60,
354,153,62,
355,153,89,
