id_compratore,azienda,indirizzo,cap,citta,stato,fax,telefono,piva,italiano,tipo_pagamento,iva
3,"3 B LATTE DI BERTONI FLORINDO & C SNC","VIA COLOGNO 10","24053","BRIGNANO GERA D'ADDA (BG)",,"0363817034","0363814581","IT01670860160",1,,
6,"CENTRALE DEL LATTE DI BRESCIA SPA","VIA LAMARMORA 189","25124","BRESCIA",,,"0302440300","IT03341930174",1,,
7,"MAINA PANETTONI SPA","VIA BRA (TAGLIATA), 109","12045","FOSSANO (CN)",,"39 0172 640 200","39 0172 640 111","IT00758040042",1,,
8,"FORESTI SPA","VIA BRESCIA 7","25023","GOTTOLENGO (BS)",,"0309517574","0309517241","IT00632970984",1,,
9,"CENTRO LATTE SAVONA SRL","C.SO A. RICCI 42/B","17000","SAVONA",,"0198811259","019800837","IT00098680093",1,,
10,"STELLA BIANCA SPA","VIA PRIVATA SANTA ROSA 5","26816","OSSAGO LODIDIANO (LO)",,"037187037","037187781","IT01633850159",1,,
12,"DE PAOLI LUIGI & FIGLI S.R.L.","VIA TRIESTE, 4/C","36050","BOLZANO VICENTINO (VC)",,"0444.351080","0444351088","IT00118170240",1,,
14,"LAZZARONI & C. SPA","C.SO EUROPA 9","20020","LAINATE (MI)",,,"39 029394721","IT02476770124",1,,
15,"DE BRANDT DAIRY INTERNATIONAL","HOOGVELD 89","9200","DENDERMONDE BE",,"003252223739","0032522247799","BE0400282475",0,,
19,"DECO INDUSTRIE S.C.P.A.","VIA CADUTI DEL LAVORO, 2","48012","BAGNACAVALLO (RA)",,"0545 935600","0545 935511","IT00069540391",1,,
20,"CAFFARELL SPA","VIA GIOSUE' GIANAVELLO, 41","10062","LUSERNA SAN GIOVANNI (TO)",,,"0121 900641","IT00524250016",1,,
21,"CASEARIA MONTI TRENTINI SPA","ZONA INDUSTRIALE 1","38055","GRIGNO VALSUGANA (TN)",,"0461/775899","0461/775800","01091580223",1,,
23,"VALGRANA SPA","VIA MORETTA 7","12030","SCARNAFIGI (CN)",,"0175274785","0175274784",,1,,
24,"LATTERIE CARSICHE SPA","VIA TRIESTE 19","34070","VILLESSE (GO)",,"0481 91410","0481 91105","00055190326",1,,
25,"COOPERLAT SOC. COOP AGRICOLA","VIA PIANDELMEDICO, 74","60035","JESI (AN)",,"0731.205455","0731.2381","00807560420",1,,
26,"CONSORZIO AGRARIO PARMA - PRODUTTORI RIUNITI","STRADA DEI MERCATI 17",,"PARMA",,,,"00163810344",1,,
27,"BRESCIALAT","VIA CASTELLANA, 1/A","25032","CHIARI",,,,"02092970983",1,,
28,"DE PAOLI L. & F. SPA","VIA TRIESTE, 4/C","36050","BOLZANO VICENTINO (VI)",,,,"00118170240",1,,
29,"PARMAREGGIO SPA","Via Polonia, 30/33","41122","MODENA",,"059450441","059414711","01299680353",1,,
30,"CASEIFICIO SPADI ENZO","Via della Tana, 29/33","58036","ROCCASTRADA",,"0564 563053","0564 565069","00213450539",1,,
31,"DE ANGELIS SRL","Via Taschini, 11 Loc. Borghetto","01033","CIVITA CASTELLANA (VT)",,,,"01817240565",1,,
34,"RUGGER SPA","Via Tetti Giro, 7","10026","SANTENA (TO)",,,,"00520220013",1,,
36,"BUSTAFFA EMILIO E FIGLI SPA","Piazzale giacobbe Bustaffa, 1","46031","BAGNOLO SAN VITO (MN)",,,,"00466940202",1,,
38,"CAMEO","Via Ugo La Malfa 60","25015","DESENZANO DEL GARDA (BS)",,,,"00638480988",1,,
39,"PREALPI spa Industria Casearia","Viale Borri, 80","21100","VARESE",,,,"IT 00222060121",1,,
40,"LA TORINESE SPA","VIA VICENZA, 13","10144","TORINO",,"0114731109","011484484","02090590015",1,,
41,"FALLINI FORMAGGI SRL","Via Verdi, 16","42043","Gattatico (RE)",," +39 0522 90.87.83","+39 0522 90.88.24/5","IT00840780340",1,,
43,"FABBRI 1905 SPA","V. Emilia Ponente, 276","40132","Bologna",,,"0516173111","IT00281980375",1,,
