id_conferma,compratore,venditore,qta,prezzo,articolo,n_conf,data_conf,provvigione,tipologia,luogo_consegna,condizioni_pag,note,carico,arrivo,emailv,emailc
7539,45,9,3000,8.6500,54,"10","01/02/25 00:00:00",0.15000001,"Q.TA","INTROBIO, LC- ITALIEN",3,"DEUTSCHE MARKENBUTTER",0,1,0,0
7541,144,300,23000,2.7000,10,"12","01/14/25 00:00:00",0.02,"Q.TA","PALERMO, SICILY",1,,0,1,0,0
7542,687,220,1800,1.5000,180,"13","01/14/25 00:00:00",0.050000001,"Q.TA","GOTTOLENGO, BS",31,,1,0,0,0
7544,633,124,125000,1.6100,22,"14","01/14/25 00:00:00",0.02,"Q.TA","JAKLOVCE, SK",3,"PRICE €/LITER.",0,1,0,0
7545,144,193,24000,2.7000,10,"15","01/15/25 00:00:00",0.02,"Q.TA","PALERMIO, SICILY - ITALY",1,"RENY PICOT.",0,1,0,0
7546,670,170,24000,2.6500,10,"16","01/16/25 00:00:00",0.02,"Q.TA","DESIO, ITALIE",1,,0,1,0,0
7548,670,394,1000,6.8000,223,"18","01/24/25 00:00:00",0.60000002,"Q.TA","DESIO",1,,0,1,0,0
7550,658,353,250000,0.7900,21,"19","01/27/25 00:00:00",0.015,"Q.TA","5131RC Alphen (NBr)",3,"The adress for loading is; 
Het Sas 14
5131RC Alphen (NBr)
Nederland",1,0,0,0
7551,696,420,60000,0.6150,168,"20","02/10/25 00:00:00",0.0099999998,"Q.TA","MOTTA DI LIVENZA",1,"carico: Latteria e Caseificio
Moro s.r.l
Via Postumia, 28/1
31045 MOTTA DI LIVENZA",1,0,0,0
7557,276,198,22000,4.1000,45,"24","02/27/25 00:00:00",0.1,"Q.TA","CHATEAUBRIAND, FRANCIA",3,,1,0,0,0
7558,45,9,5000,7.9500,19,"25","02/27/25 00:00:00",0.2,"Q.TA","INTROBIO, LC- ITALIEN",1," 25 KG BLOCS, DEUTSCHE MARKENBUTTER .",0,1,0,0
7561,596,170,72000,2.7200,10,"27","03/07/25 00:00:00",0.02,"Q.TA","BOLTIERE, BG- ITALIE",15,"MONTAIGU  Instant  SMP  petit granule, in bags.  Delivery address : GRANULATI ITALIA ,  Via Bartolomeo Colleoni, 10, 24040 Boltiere BG, ITALIE.",0,1,0,0
7562,670,170,24000,2.6250,10,"28","03/10/25 00:00:00",0.02,"Q.TA","Desio - Italy",1,"SMP Montaigu REGULAR - data di consegna indicativa per il nostro sistema,Certificato veterinario di pre-esportazione USA come solito.",0,1,0,0
7566,697,313,8000,4.9500,92,"29","03/14/25 00:00:00",0.050000001,"Q.TA","FRASCINETO, CALABRIA",3,,0,1,0,0
7567,698,421,4544,2.2000,131,"30","03/19/25 00:00:00",0.2,"Q.TA","13580 Almodóvar Del Campo, Ciudad Real (SPAIN).",3,"Payment 50% advance - 50% at 3O days. Customer : '' ADILACTA Produção e Comercialização de queijo, Lda. ''",1,0,0,0
7568,633,124,175000,1.5300,22,"31","03/19/25 00:00:00",0.02,"Q.TA","JAKLOVCE, SK",3,"€.LITER PRICE.",0,1,0,0
7569,76,399,22000,7.3500,17,"32","03/21/25 00:00:00",0.050000001,"Q.TA","DAVERIO, ITALY",1,"CANDIA whey butter.",0,1,0,0
7570,76,410,22000,4.4400,92,"33","03/25/25 00:00:00",0.02,"Q.TA","DAVERIO, ITALY",1,"OSTROWIA, Poland.",0,1,0,0
7574,687,220,26400,1.5500,180,"37","04/07/25 00:00:00",0.050000001,"Q.TA","GOTTOLENGO, BS",31,,1,0,0,0
7575,649,23,100000,1.2400,22,"38","04/09/25 00:00:00",0.02,"Q.TA","MASSEGROS, FR",3,"PREZZO €/LITRO.",1,0,0,0
7523,676,394,3000,10.4500,121,"109","11/04/24 00:00:00",0.5,"Q.TA","GALLESE - VT, ITALY",3,"wpc 80%  REGULAR- Payment to be RE-CHECKED for the 2° Order. Pagamento da ricontrollare per il 2° Ordine.",0,1,0,0
