id_conferma,compratore,venditore,qta,prezzo_acq,articolo,n_conf,data_conf,prezzo_vend,luogo_consegna,condizioni_pag,note,carico,arrivo,emailv,emailc,condizioni_pag_venditore
10,66,236,300,8.9000,145,"5","01/23/15 00:00:00",10.5000,"LAVEZZOLA",1,,0,1,0,0,
290,71,251,95700,4.0500,45,"209","01/31/17 00:00:00",4.1700,"ALBAREDO, VR- ITALY",1,"Organic SMP  ''ARLA''  -   with possibility to split the JULY  + AUGUST deliveries from Bag  -->  to Big Bag.",0,1,0,0,
311,534,251,350,4.8000,45,"227","04/14/17 00:00:00",5.0500,"Flößergasse 2, Flößergasse 2
81369 München",3,"DELIVERY ADDRESS : 
Del Fiore Gelato Manufaktur
Flößergasse 2
81369 München",0,1,0,0,
11,263,26,500,6.6000,70,"6","01/27/15 00:00:00",7.6000,"via FENESTRELLE 32, 10064 PINEROLO (TO), ITALY",3,,0,0,0,0,
13,39,26,2000,5.3800,33,"8","02/03/15 00:00:00",5.6500,"VARESE",1,,0,1,0,0,
15,66,236,800,9.3000,145,"9","02/11/15 00:00:00",10.6000,"LAVEZZOLA",1,"SAME QUALITY AND SAME TYPE OF THE SAMPLE, VERY IMPORTANT: WEIGHT RANGE OF EVERY PIECE : 4,0-5,0 KG",0,1,0,0,
18,263,26,500,6.6000,70,"11","02/18/15 00:00:00",7.6000,"PINEROLO, ITALY",3,,0,1,0,0,
352,513,14,100,4.8000,46,"259","09/06/17 00:00:00",5.1000,"Via Madonnina 32 - 27018 VIDIGULFO (PV)",1,,0,1,0,0,
17,51,188,1000,4.8900,59,"10","02/16/15 00:00:00",6.8500,"LISCATE , Italy",2,"Pagamento RIBA 30 gg. netto",0,1,0,0,
436,1,284,75000,0.3350,38,"335","03/28/18 00:00:00",0.3450,"Haslacher Straße 12  -  79115 Freiburg",1,,1,0,0,0,
19,1,77,15000,0.5400,37,"12","02/27/15 00:00:00",0.6000,"LOCALITA' CA' VERDE - 37015 - S.Ambrogio di Valpolicella (VR)",1,"Latte crudo fresco - certificato Biologico. Percentuali grasso/proteine conforme reg CE 834/07 art.29 Reg. CE889/08 reg- CE 853/04.",1,0,0,0,
22,39,26,2000,5.2800,33,"13","03/09/15 00:00:00",5.6400,"VARESE, Italy",1,,0,0,0,0,
549,577,26,0,7.7800,70,"437","09/14/18 00:00:00",7.9300,"VEROLENGO - TO, ITALY",14,,0,1,0,0,
23,66,236,708,9.8000,145,"14","03/11/15 00:00:00",10.8000,"lavezzola",1,"SAME QUALITY AND SAME TYPE OF THE SAMPLE, VERY IMPORTANT: WEIGHT RANGE OF EVERY PIECE : 4,0-5,0 KG",0,1,0,0,
12,450,26,1000,5.3800,33,"7","01/29/15 00:00:00",5.7000,"forlì cesena",2,"PAGAMENTO 30 GIORNI RIBA NETTO DATA FATTURA",0,1,0,0,
131,53,236,1500,8.2500,139,"82","02/11/16 00:00:00",9.1000,"VAGO DI LAVAGNO 37030, VR- Italy",1,"FROZEN Goods.",0,1,0,0,
714,1,81,25000,0.4400,200,"586","06/12/19 00:00:00",0.4700,"Biomilchstraße 1 - 82346 Andechs",25,,1,0,0,0,
132,439,12,25000,0.5000,37,"83","02/17/16 00:00:00",0.5550,"Via Filadelfia, 220, 10137 Torino",14,"ORGANIC RAW MILK FROM HUNGARY, DELIVERY ABSOLUTELY WITHIN
11 O'CLOCK.",0,1,0,0,
158,1,267,25000,0.4850,8,"102","04/21/16 00:00:00",0.5100,"PORCARI",1,"ORGANIC MILK FROM GERMANY - LATTE BIO TEDESCO.",0,1,0,0,
786,564,325,3000,0.8500,21,"652","10/14/19 00:00:00",0.9000,"San Vittore Olona",14,"Latte di capra nazionale - fatturazione in litri. Il prezzo sopra riportato è da intendersi €/litro fco partenza + 100 euro trasporto.",1,0,0,0,
126,482,221,1000,3.9200,45,"79","01/28/16 00:00:00",4.2000,"SETTIMO TORINESE (TO), ITALIE",1,"Pagamento 30 Gg.netto data Fattura , valuta fissa.",0,1,0,0,
136,53,236,3777,8.2500,139,"86","02/19/16 00:00:00",9.1000,"VAGO DI LAVAGNO 37030, VR- Italy",1,"FROZEN GOODS, PAYMENT 30 DAYS BUT WE MADE A PREPAYMENT FOR THE INVOICE OF THE AMOUNT OF 6,162 €.",0,1,0,0,
127,15,62,5000,4.8500,33,"80","02/03/16 00:00:00",4.9000,"ENGLAND, UK",3,"LOADING DATE IS ONLY INDICATIVE.",1,0,0,0,
995,564,325,10000,0.8300,21,"834","08/26/20 00:00:00",0.9300,"SanVittore Olona",13,"latte di capra nazionale, prezzo espressoo €/LITRO fco partenza + COSTO DI
TRASPORTO 150 €URO, orario di scarico 8,00 -8,30,",0,1,0,0,14
129,451,26,300,6.9000,70,"81","02/08/16 00:00:00",7.6000,"ZENSON DI PIAVE - TV, ITALY",2,"PAGAMENTO RIBA 30 GG.netto data fattura.",0,1,0,0,
133,36,33,25000,0.5100,37,"84","02/18/16 00:00:00",0.5300,"BAGNOLO SAN VITO (MN)",1,"LATTE CRUDO BIOLOGICO NAZIONALE.",0,1,0,0,
138,263,26,280,7.5000,70,"88","02/23/16 00:00:00",8.7000,"pinerolo",1,,0,1,0,0,
1165,,,,0.0000,,"973",,,,0,,0,1,0,0,0
139,343,260,100000,0.2100,38,"89","02/24/16 00:00:00",0.2700,"Via Provinciale, 17 - 12050 Bosia (CN)",1,"FR ORIGIN RAW MILK.",0,1,0,0,
140,36,33,22000,0.5050,37,"90","03/02/16 00:00:00",0.5250,"BAGNOLO SAN VITO (MN)",1,"LATTE CRUDO BIOLOGICO NAZIONALE.",0,1,0,0,
169,450,26,1000,5.3200,33,"112","05/13/16 00:00:00",5.5700,"CHEF SERVICE - FORLI'",2,"Pagamento 30 GG.RIBA netto data fattura.",0,0,0,0,
279,450,26,1000,5.4000,33,"200","01/09/17 00:00:00",5.8000,"CHEF  SERVICE IN FORLI' , Italy",1,,0,1,0,0,
