ID_fat_studio_det,id_fatt_studio,compratore,qta,prezzo,provvigione,tipologia,data_consegna
10830,2371,658,0,0.7900,0.015,"Q.TA","01/27/25 00:00:00"
10831,2372,171,1000,7.7500,0.5,"Q.TA","01/17/25 00:00:00"
10832,2373,687,1800,1.5000,0.050000001,"Q.TA","01/23/25 00:00:00"
10833,2374,45,3200,8.6500,0.15000001,"Q.TA","01/15/25 00:00:00"
10834,2375,633,23282,1.6700,0.02,"Q.TA","01/11/25 00:00:00"
10835,2375,633,23320,1.6100,0.02,"Q.TA","01/25/25 00:00:00"
10836,2376,645,21000,7.1000,0.050000001,"Q.TA","01/16/25 00:00:00"
10837,2377,672,3000,5.6000,0.25,"Q.TA","01/23/25 00:00:00"
10838,2378,695,24000,2.6900,0.02,"Q.TA","01/16/25 00:00:00"
10839,2379,658,24500,0.7900,0.015,"Q.TA","01/27/25 00:00:00"
10840,2379,658,24320,0.7900,0.015,"Q.TA","02/10/25 00:00:00"
10841,2379,658,24380,0.7900,0.015,"Q.TA","02/03/25 00:00:00"
10842,2379,658,24740,0.7900,0.015,"Q.TA","02/17/25 00:00:00"
10843,2380,670,1000,6.8000,0.60000002,"Q.TA","02/12/25 00:00:00"
10844,2380,676,3045,10.4500,0.5,"Q.TA","02/24/25 00:00:00"
10845,2381,45,3200,8.4000,0.15000001,"Q.TA","02/03/25 00:00:00"
10846,2382,633,22374,1.6100,0.02,"Q.TA","02/15/25 00:00:00"
10847,2382,633,22838,1.6100,0.02,"Q.TA","02/22/25 00:00:00"
10848,2382,633,23069,1.6100,0.02,"Q.TA","02/08/25 00:00:00"
10849,2383,696,31060,0.6150,0.0099999998,"Q.TA","02/12/25 00:00:00"
10850,2383,696,31370,0.6150,0.0099999998,"Q.TA","02/13/25 00:00:00"
10851,2384,670,24000,2.6500,0.02,"Q.TA","02/10/25 00:00:00"
10852,2385,276,22000,4.1000,0.1,"Q.TA","03/31/25 00:00:00"
10853,2386,144,22500,2.7000,0.02,"Q.TA","03/31/25 00:00:00"
10854,2387,687,2400,1.5500,0.050000001,"Q.TA","03/13/25 00:00:00"
10855,2388,45,4800,7.9500,0.2,"Q.TA","03/10/25 00:00:00"
10856,2389,633,22741,1.6100,0.02,"Q.TA","03/01/25 00:00:00"
10857,2389,633,22760,1.6100,0.02,"Q.TA","03/08/25 00:00:00"
10858,2389,633,23398,1.6100,0.02,"Q.TA","03/22/25 00:00:00"
10859,2389,633,24035,1.5300,0.02,"Q.TA","03/29/25 00:00:00"
10860,2390,624,23000,0.8900,0.02,"Q.TA","03/12/25 00:00:00"
10861,2391,76,21600,7.3500,0.050000001,"Q.TA","03/28/25 00:00:00"
