id_fattura,confermaordine,n_fat,data_fat,nota_acr,articolo,qta,prezzo,iva_perc,data_consegna,compilato,fatturata
12694,7539,15,"01/15/25 00:00:00",0,54,3200,8.6500,0,"01/15/25 00:00:00",1,1
12695,7540,5,"03/05/25 00:00:00",0,10,19500,2.7500,0,"03/05/25 00:00:00",1,1
12707,7550,3,"02/03/25 00:00:00",0,21,24380,0.7900,0,"02/03/25 00:00:00",1,1
12697,7542,23,"01/23/25 00:00:00",0,180,1800,1.5000,0,"01/23/25 00:00:00",1,1
12698,7544,22,"02/22/25 00:00:00",0,22,22838,1.6100,0,"02/22/25 00:00:00",1,1
12699,7544,22,"03/22/25 00:00:00",0,22,23398,1.6100,0,"03/22/25 00:00:00",1,1
12700,7544,10,"05/10/25 00:00:00",0,22,23668,1.6100,0,"05/10/25 00:00:00",1,1
12701,7544,26,"04/26/25 00:00:00",0,22,24382,1.6100,0,"04/26/25 00:00:00",1,1
12702,7545,31,"03/31/25 00:00:00",0,10,22500,2.7000,0,"04/04/25 00:00:00",1,1
12703,7546,10,"02/10/25 00:00:00",0,10,24000,2.6500,0,"02/10/25 00:00:00",1,1
12704,7547,3,"02/03/25 00:00:00",0,54,3200,8.4000,0,"02/03/25 00:00:00",1,1
12705,7548,12,"02/12/25 00:00:00",0,223,1000,6.8000,0,"02/12/25 00:00:00",1,1
12706,7550,0,,0,21,0,0.7900,0,"01/27/25 00:00:00",0,1
12708,7550,10,"02/10/25 00:00:00",0,21,24320,0.7900,0,"02/10/25 00:00:00",1,1
12709,7550,17,"02/17/25 00:00:00",0,21,24740,0.7900,0,"02/17/25 00:00:00",1,1
12710,7550,0,,0,21,0,0.7900,0,,0,1
12711,7550,0,,0,21,0,0.7900,0,,0,0
12712,7550,0,,0,21,0,0.7900,0,,0,0
12713,7550,0,,0,21,0,0.7900,0,,0,0
12714,7550,0,,0,21,0,0.7900,0,,0,0
12715,7550,0,,0,21,0,0.7900,0,,0,0
12716,7544,15,"02/15/25 00:00:00",0,22,22374,1.6100,0,"02/15/25 00:00:00",1,1
12717,7551,12,"02/12/25 00:00:00",0,168,31060,0.6150,0,"02/12/25 00:00:00",1,1
12718,7551,13,"02/13/25 00:00:00",0,168,31370,0.6150,0,"02/13/25 00:00:00",1,1
12720,7554,26,"03/26/25 00:00:00",0,10,24000,2.7700,0,"03/26/25 00:00:00",1,1
12721,7544,1,"03/01/25 00:00:00",0,22,22741,1.6100,0,"03/01/25 00:00:00",1,1
12722,7555,24,"03/24/25 00:00:00",0,10,24000,2.6500,0,"03/24/25 00:00:00",1,1
12723,7555,28,"04/28/25 00:00:00",0,10,24000,2.6500,0,"04/28/25 00:00:00",1,1
12724,7556,12,"03/12/25 00:00:00",0,213,23000,0.8900,0,"03/12/25 00:00:00",1,1
12725,7557,31,"03/31/25 00:00:00",0,45,22000,4.1000,0,"03/31/25 00:00:00",1,1
12726,7558,10,"03/10/25 00:00:00",0,19,4800,7.9500,0,"03/10/25 00:00:00",1,1
12727,7532,8,"05/08/25 00:00:00",0,10,24000,2.6500,0,"05/08/25 00:00:00",1,1
12728,7559,13,"03/13/25 00:00:00",0,180,2400,1.5500,0,"03/13/25 00:00:00",1,1
12729,7561,26,"05/26/25 00:00:00",0,10,24000,2.7200,0,"05/26/25 00:00:00",1,1
12730,7561,13,"06/13/25 00:00:00",0,10,24000,2.7200,0,"06/13/25 00:00:00",1,1
12731,7561,27,"06/27/25 00:00:00",0,10,24000,2.7200,0,"06/27/25 00:00:00",1,1
12732,7562,9,"06/09/25 00:00:00",0,10,24000,2.6250,0,"06/09/25 00:00:00",1,1
12733,7566,19,"03/19/25 00:00:00",0,92,8039,4.9500,0,"03/19/25 00:00:00",1,1
12734,7567,27,"03/27/25 00:00:00",0,131,4544,2.2000,0,"03/27/25 00:00:00",1,1
12735,7568,29,"03/29/25 00:00:00",0,22,24035,1.5300,0,"03/29/25 00:00:00",1,1
12736,7568,3,"05/03/25 00:00:00",0,22,22799,1.5300,0,"05/03/25 00:00:00",1,1
12737,7568,17,"05/17/25 00:00:00",0,22,22220,1.5300,0,"05/17/25 00:00:00",1,1
12738,7568,31,"05/31/25 00:00:00",0,22,23784,1.5300,0,"05/31/25 00:00:00",1,1
12739,7568,14,"06/14/25 00:00:00",0,22,9976,1.5300,0,"06/14/25 00:00:00",1,1
12740,7568,21,"06/21/25 00:00:00",0,22,23089,1.5300,0,"06/21/25 00:00:00",1,1
12741,7568,0,,0,22,0,1.5300,0,,0,0
12742,7569,28,"03/28/25 00:00:00",0,17,21600,7.3500,0,"03/28/25 00:00:00",1,1
12743,7570,31,"03/31/25 00:00:00",0,92,21007,4.4400,0,"03/31/25 00:00:00",1,1
12744,7571,7,"04/07/25 00:00:00",0,22,23202,1.3200,0,"04/07/25 00:00:00",1,1
12745,7572,9,"04/09/25 00:00:00",0,22,23587,1.2900,0,"04/09/25 00:00:00",1,1
12746,7572,10,"04/10/25 00:00:00",0,22,23973,1.2900,0,"04/10/25 00:00:00",1,1
12747,7572,11,"04/11/25 00:00:00",0,22,23838,1.2900,0,"04/11/25 00:00:00",1,1
12748,7572,12,"04/12/25 00:00:00",0,22,23279,1.2900,0,"04/12/25 00:00:00",1,1
12634,7497,14,"09/14/24 00:00:00",0,22,23861,1.6700,0,"09/14/24 00:00:00",1,1
12635,7497,23,"09/23/24 00:00:00",0,22,23224,1.6700,0,"09/23/24 00:00:00",1,1
12636,7497,12,"10/12/24 00:00:00",0,22,23436,1.6700,0,"10/12/24 00:00:00",1,1
12637,7497,26,"10/26/24 00:00:00",0,22,24730,1.6700,0,"10/26/24 00:00:00",1,1
12641,7497,0,,0,22,0,1.6700,0,"12/14/24 00:00:00",0,0
12644,7497,11,"01/11/25 00:00:00",0,22,23282,1.6700,0,"01/11/25 00:00:00",1,1
12749,7572,13,"04/13/25 00:00:00",0,22,23972,1.2900,0,"04/13/25 00:00:00",1,1
12750,7573,11,"04/11/25 00:00:00",0,54,4800,7.9500,0,"04/11/25 00:00:00",1,1
12751,7574,17,"04/17/25 00:00:00",0,180,1800,1.5500,0,"04/17/25 00:00:00",1,1
12752,7574,24,"04/24/25 00:00:00",0,180,2400,1.5500,0,"04/24/25 00:00:00",1,1
