id_fatt_studio,n_fat,data_fat,nota_acr,cliente,t_iva,t_pagamento,note,id_banca
2371,30,"02/10/25 00:00:00",0,353,,,,
2372,30,"02/10/25 00:00:00",0,394,,1,,2
2373,31,"02/10/25 00:00:00",0,220,2,1,,2
2374,32,"02/10/25 00:00:00",0,9,,1,,2
2375,33,"02/10/25 00:00:00",0,124,,1,,2
2376,34,"02/10/25 00:00:00",0,342,,1,,2
2377,35,"02/10/25 00:00:00",0,27,,1,,2
2378,36,"02/10/25 00:00:00",0,170,,1,,2
2379,55,"03/03/25 00:00:00",0,353,,1,,2
2380,56,"03/03/25 00:00:00",0,394,,1,,2
2381,57,"03/03/25 00:00:00",0,9,,1,,2
2382,58,"03/03/25 00:00:00",0,124,,1,,2
2383,59,"03/03/25 00:00:00",0,420,2,1,,2
2384,60,"03/03/25 00:00:00",0,170,,1,,2
2385,80,"03/31/25 00:00:00",0,198,,1,,2
2386,81,"03/31/25 00:00:00",0,193,,1,,2
2387,82,"03/31/25 00:00:00",0,220,2,1,,2
2388,83,"03/31/25 00:00:00",0,9,,1,,2
2389,84,"03/31/25 00:00:00",0,124,,1,,2
2390,85,"03/31/25 00:00:00",0,342,,1,,2
2391,86,"03/31/25 00:00:00",0,399,,1,,2
2392,87,"03/31/25 00:00:00",0,313,2,1,,2
2393,88,"03/31/25 00:00:00",0,421,,1,,2
2394,89,"03/31/25 00:00:00",0,170,,1,,2
2395,90,"03/31/25 00:00:00",0,410,2,1,,2
2396,112,"05/02/25 00:00:00",0,220,2,1,,2
2397,113,"05/02/25 00:00:00",0,9,,1,,2
2398,114,"05/02/25 00:00:00",0,124,,1,,2
2399,115,"05/02/25 00:00:00",0,23,2,1,,2
2400,116,"05/02/25 00:00:00",0,170,,1,,2
2401,140,"06/05/25 00:00:00",0,422,2,1,,2
2402,141,"06/05/25 00:00:00",0,394,,1,,2
2403,142,"06/05/25 00:00:00",0,220,2,1,,2
2404,143,"06/05/25 00:00:00",0,9,,1,,2
2405,144,"06/05/25 00:00:00",0,124,,1,,2
2406,145,"06/05/25 00:00:00",0,417,,1,,2
2407,146,"06/05/25 00:00:00",0,170,,1,,2
2408,147,"06/05/25 00:00:00",0,410,2,1,,2
2409,148,"06/05/25 00:00:00",0,321,,1,,2
2410,163,"07/03/25 00:00:00",0,423,,1,,2
2411,164,"07/03/25 00:00:00",0,394,,1,,2
2412,165,"07/03/25 00:00:00",0,220,2,1,,2
2413,166,"07/03/25 00:00:00",0,9,,1,,2
2414,167,"09/15/25 00:00:00",0,425,,15,,2
2415,168,"07/03/25 00:00:00",0,296,,1,,2
2416,169,"07/03/25 00:00:00",0,124,,1,,2
2417,170,"07/03/25 00:00:00",0,23,2,1,,2
2418,171,"07/03/25 00:00:00",0,170,,1,,2
2419,172,"07/03/25 00:00:00",0,154,,1,,2
2420,173,"07/03/25 00:00:00",0,424,,1,,2
2421,174,"07/03/25 00:00:00",0,410,2,1,,2
2422,190,"08/01/25 00:00:00",0,423,,1,,2
2423,191,"08/01/25 00:00:00",0,193,,1,,2
2424,192,"08/01/25 00:00:00",0,220,2,1,,2
2425,193,"08/01/25 00:00:00",0,9,,1,,2
2426,194,"08/01/25 00:00:00",0,425,,1,,2
2427,195,"08/01/25 00:00:00",0,124,,1,,2
2428,196,"08/01/25 00:00:00",0,170,,1,,2
2429,203,"09/01/25 00:00:00",0,220,2,1,,2
2430,204,"09/01/25 00:00:00",0,9,,1,,2
2431,205,"09/01/25 00:00:00",0,216,,1,,2
2432,206,"09/01/25 00:00:00",0,414,,1,,2
2433,207,"09/01/25 00:00:00",0,170,,1,,2
2434,208,"10/01/25 00:00:00",0,220,2,13,,
2435,209,"10/01/25 00:00:00",0,9,,1,,
2436,210,"10/01/25 00:00:00",0,342,,,,
2437,211,"10/01/25 00:00:00",0,170,,1,,
2438,212,"10/01/25 00:00:00",0,170,,1,,
