id_fatt_studio,n_fat,data_fat,nota_acr,cliente,t_iva,t_pagamento,note,id_banca,n_conf
3,1,"01/13/15 00:00:00",0,71,4,1,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. Conforme al Reg. CE 834/07 e CE 889/08.",,
55,249,"09/23/15 00:00:00",0,355,4,3,,,
397,3,"01/11/18 00:00:00",0,39,3,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA FATTURA 09/02/2018",2,
16,80,"03/13/15 00:00:00",0,39,3,1,"scadenza 13/04/2015 VALUTA FISSA.

Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
189,351,"10/07/16 10:15:16",0,488,,3,,2,
86,56,"02/09/16 00:00:00",0,439,4,14,"Riferimento doc. giustificativo 2015/00491
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 31/03/2016",,
228,39,"01/24/17 00:00:00",0,320,4,3,,2,
229,43,"01/31/17 00:00:00",0,320,4,3,,2,
234,74,"02/09/17 00:00:00",0,320,4,3,,2,
238,78,"02/13/17 00:00:00",0,320,4,3,,2,
242,82,"02/22/17 00:00:00",0,320,4,3,,2,
245,85,"03/02/17 00:00:00",0,320,4,3,,2,
279,184,"05/24/17 00:00:00",0,535,4,3,,2,
87,57,"02/15/16 00:00:00",0,451,3,2,"Riferimento doc. giustificativo 2015/00491
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza: 15/03/2016",,
58,253,"09/29/15 00:00:00",0,63,4,3,"Riferimento doc. giustificativo 2015/00491
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08


SALDO ANCORA DA PAGARE: 943,36 €",,
512,252,"07/25/18 00:00:00",0,1,4,2,,2,
563,335,"09/21/18 00:00:00",0,1,4,2,"SCADENZA RIBA: 18/10/2018",2,
564,336,"09/21/18 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA -  BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 19/10/2018",2,
6,25,"02/04/15 00:00:00",0,263,3,3,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
8,26,"02/05/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RI.BA. 5 MARZO 2015",,
9,27,"02/09/15 00:00:00",0,450,3,2,"Scadenza Ri.Ba: 09/03/2015

Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
11,55,"02/23/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RI.BA: 23 MARZO 2015",,
12,56,"02/24/15 00:00:00",0,263,3,3,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
13,57,"02/26/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RI.BA: 26 MARZO 2015",,
14,58,"03/03/15 00:00:00",0,51,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Ref. DDT 36407 del 27/02/2015

SCADENZA RI.BA: 03 APRILE 2015",,
15,59,"03/05/15 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Ref. DDT nr. 50 del 04/03/2015

SCADENZA RI.BA: 07 APRILE 2015",,
237,77,"02/13/17 00:00:00",0,37,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA : 14/03/2017",2,
92,63,"02/24/16 00:00:00",0,53,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 24/03/2016",,
93,64,"02/25/16 00:00:00",0,36,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 25/03/2016",,
10,28,"02/09/15 00:00:00",0,39,3,1,"Scadenza: 09/03/2015 valuta fissa

Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08",,
17,81,"03/13/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08


SCADENZA RI.BA: 13 APRILE 2015",,
18,82,"03/24/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA  24/04/2015",,
19,83,"03/25/15 00:00:00",0,62,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA  24/04/2015",,
20,84,"03/27/15 00:00:00",0,450,3,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA  27/04/2015",,
21,85,"03/30/15 00:00:00",0,463,4,14,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA FATTURA 30/04/2015",,
22,86,"03/31/15 00:00:00",0,66,4,2,"Riferimento doc. giustificativo 2013/00093
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

scadenza RIBA 30/04/2015",,
239,79,"02/16/17 00:00:00",0,80,4,1,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA FATTURA : 17/03/2017",2,
240,80,"02/16/17 00:00:00",0,1,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA : 16/03/2017",2,
96,91,"03/11/16 00:00:00",0,36,4,2,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

Scadenza Ri.Ba: 11/04/2016",,
401,9,"01/16/18 00:00:00",0,557,3,13,"Riferimento doc. giustificativo 2016/00084
Controllato da ICEA - IT BIO 006 - operatore controllato H2701. 
Conforme al Reg. CE 834/07 e CE 889/08

SCADENZA RIBA: 28/02/2018",2,
