id_pagamento,tipo
1,"30 giorni data fattura/ 30 days from Invoice date"
2,"30 giorni RI.BA"
3,"in anticipo con Proforma / in advance with Proforma"
4,"Bonifico bancario 30-45 gg data fattura"
5,"60 giorni data fattura/60 days from Invoice date"
6,"60 giorni RI.BA."
7,"45 giorni data fattura/45 days from Invoice date"
8,"21 giorni data fattura/21 days from Invoice date"
9,"90 giorni data fattura/90 days from Invoice date"
11,"14 giorni data fattura/14 days from Invoice date"
12,"15 giorni data fattura/15 days from Invoice date"
13,"30 giorni RI.BA fine mese"
14,"30 giorni data fattura fine mese/30 days invoice date end of month"
15,"a ricevimento fattura/at receipt of the invoice"
16,"60 giorni fine mese/60 days end of month"
17,"50% in anticipo-50% a 30 giorni / 50% in advance-50% at 30 days"
18,"16.440 € in anticipo e restante a 30 gg df/16.440 € in advance and the remaining at 30 days inv.date"
19,"for free/ gratis"
20,"assegno circolare"
21,"30 giorni data di carico / 30 days from loading date"
22,"20 giorni data fattura / 20 days invoice date"
23,"7 GG.data fattura/ 7 days Invoice Date."
24,"RIBA 60 Giorni Fine Mese"
25,"10 Giorni netto data fattura/10 Days net invoice date"
26,"3 days from delivery / 3 giorni dalla consegna"
27,"50% in anticipo - 50% 30 GG.data Fattura"
28,"Ri.Ba fine mese"
29,"40 days invoice date / 40 giorni data fattura"
30,"50 giorni data Fattura / 50 days invoice date"
31,"RIBA 45 GG DATA FATTURA"
32,"20 GIORNI DATA FATTURA, 21 DAYS INV.DATE"
