id_venditore,azienda,indirizzo,cap,citta,stato,fax,telefono,piva,italiano,tipo_pagamento,iva
34,"SONCINI SRL",,,,,,,"01234566678999",1,,
35,"SONCINI LUCA",,,,,,,"0134658888877",1,,
55,"DANSKO FOODS LTD","UNIT 22, WEBWORKS,EGLINGTON ST.",,"CORK - Ireland",,,,"IE4881127D",0,1,
57,"CASEIFICIO PREZIOSA SRL","VIA CASSINONE 32","24068","SERIATE (BG)",,,,"01751430164",1,,
58,"CIRESA SRL","Via V. Emanuele, 62","23815","Introbio (LC) Valsassina",,,,"00206690133",1,1,2
59,"ALESSANDRO PIRINO","VIA A.DE GIOVANNI, 13","46018","SABBIONETA (MN)",,,,"02390120208",1,1,2
60,"BIANCHI ORIZZONTI SRL","VIA MURATA , 6","80040","POLLENA TROCCHIA (NA)",,,,"06230061217",1,,
61,"STEFANO FONTANA","Via XXV Aprile, 4","29015","Castel San Giovanni (PC)",,,,"IT01592420333",1,13,1
64,"DARMILK SP Zo.o. sp. K","Ul. Pulawska  38 lok.3","05-500","Piaseczno- POLONIA",,,,"PL 1231270958",0,,
68,"SWISS PREMIUM AG","LERZENSTRASSE, 19",,"DIETIKON, SVIZZERA",,,,"CH220572",0,,
78,"VALGRANA SPA","Via Moretta, 7","12030","Scarnafigi (CN)",,"0175 272099","0175 272000",,1,1,2
80,"FATTORIA DI VAIRA","Contrada Colle Calcioni",,"Petaccio (CB)",,,"0875 67304",,1,,1
82,"MOLKEREIGENOSSENSCHAFT HOHENLOHE- FRANKEN eG","Molkereistr. 2","74575","Schrozberg",,,"0049 7935 9115-0",,0,1,
84,"MOELCKEREI SOEBBEKE GmbH","Amelandsbrueckenweg, 131","48599","Gronau Epe",,,"0049 02565 93030",,0,1,
85,"PINZGAU MILCH Produktions GmbH","Saalfeldnerstrasse 2","5751","Maishofen",,"0043 6542 68266 338","0043 6542 68266","ATU 57189633",0,1,
86,"ACCOM MANAGEMENT GROUP S.R.O.","Na plàni 1997/41","150 00","Praha",,"00420 416 781 166","00420 416 781 145",,0,1,
91,"CASEIFICIO VALVO SRL","C/DA SALERNO SNC","94100","ENNA",,,,"00602850869",1,,
92,"CENTRALE DEL LATTE DI BRESCIA","VIA LA MARMORA, 189","25124","BRESCIA",,,,"03341930174",1,,
96,"BHA BELGIUM SA","RUE MITOYENNE , 897","B-4840","WELKENRAEDT, BELGIQUE",,,,"BE 0403892558",0,1,
97,"DANA DAIRY GROUP LTD.","P.O.BOX 22,","CH-1211","GENEVA  4",,"+ 41 (22) 545 7661",,,0,1,
104,"KERR France SAS","BP 12, 2 Rue Auguste Blanqui","59431","Halluin",,,"0033320289000","79 381 234 046",0,1,
110,"IDEA OTTO SRL UNIPERSONALE","Viale del lavoro, 69","36021","Ponte di Barbarano",,,"39 0444795 148","02395140284",1,1,1
49,"DIKE CONSULTANCY","NIEUWEGRACHT 4","3512 LP","UTRECHT",,,,,0,1,
118,"CONSORZIO LATTERIE VIRGILIO","VIALE DELLA FAVORITA, 19","46100","MANTOVA",,,,"00157100207",1,,1
122,"TRADIN ORGANIC AGRICULTURE B.V","Stationsplein 61-65","1012 AB","Amsterdam",,"+31204972100","+31204074499",,0,1,
135,"BIRAGHI SPA","Via Cuneo 1","12030","Cavallermaggiore",,,,"00486510043",1,1,2
137,"LEVMILK LEVICKÉ MLIEKÁRNE a.s.","Júrska cesta č. 2","934 01","Levice",,"+421 36 6377-391","+421 36 6377-211",,0,1,
153,"MONTECOPPE","Località Ferlaro, via Montecoppe, 21","43044"," Collecchio (PR)",,"+39 0521 302040","+39 0521 805942",,1,1,2
154,"Uhrenholt A/S","Teglgårdsparken 106","DK-5500"," Middelfart",,"+45 64 41 56 41","(+45) 64 41 40 41","PL5262999272",0,1,
158,"HENRI WILLIG","Hoogedijk 8","1145 PM"," Katwoude (Volendam)",,"+31 (0) 299 652 231","+31 (0) 299 655 151",,0,1,
186,"VREUGDENHIL","Baron van Nagellstraat 64","3781 AT","VOORTHUIZEN",,"0031342477840","0031342477800",,0,1,
189,"SALCIS SAS DI MORBIDI A & C",,,"MONTERIGGIONI (SIENA)",,,"0577306724",,1,1,2
190,"Hellenic Protein S.A.","180 Pireos Ave 1 Lamias Str.","177 78 Tavros","Athens, Greece",,"(+30) 210 34 22 917","(+30) 210 34 24 993",,0,1,
192,"COOPERATIVA  AGRICOLA  ''I TESORI DELLA TERRA''","V.CIAN , 16","12010","CERVASCA (CN)",,,,"02814420044",1,13,2
194,"HIJOS DE SALVADOR RODRIGUEZ S.A.","CTRA. MOZAR, KM 1","49620","SANTA CRISTINA DE LA POLVOROSA (ZAMORA)",,"+34 980631992","+34 980631907",,0,1,
195,"Joseph Heler Cheese","Crewe Rd, Hatherton, Nantwich","CW5 7PE","Cheshire",,,"+44 (0) 1270 840018",,0,1,
198,"BIOLAIT S.A.S.","Zone de la Lande - 5, rue des Entrepreneurs","44390","Saffré",,,,"FR86489240606",0,,
199,"Milchgold Käse AG.","INDUSTRIESTRASSE, 11","CH-5644","AUW",,,,"CH 81834542",0,,
203,"VALIMEX","C/Cuenca 4-1º","46007","Valencia-Spain",,,"+34 963853707",,0,1,
205,"Eurosérum","BP 17","70170","Port-sur-Saône, France",,"+33 (0)3 84 96 11 10","+33 (0)3 84 96 11 11","FR00400869277",0,1,
206,"Revala Ltd","Vae 2,  Laagri","76401","Harjumaa Estonia",," +372 6541 770","+372 6541 777","EE100562765",0,1,
210,"LEMASA, LECHES MATERNIZADAS S.A.","Polígono Industrial de León, Apartado413","24231","Onzonilla (León)",,"+34 987 21 35 00","+34 987 21 33 11",,0,1,
214,"Hoogwegt Poland Ltd","Szamocka 8","01-748","Warsaw, Poland",,"+48 22 257 60 27"," +48 22 257 60 00",,0,1,
216,"Lactoprot Deutschland GmbH - c/o Rovita GmbH","Mühldorfer Str. 10","84549","D - 84549 Engelsberg",,,,"DE 134 878 855",0,1,
54,"EIGENMANN E VERONELLI SPA","VIA WITTGENS 3","20123","MILANO",,,,"IT08670900151",1,1,2
164,"LATTERIA SORESINA SCA","VIA DEI MILLE 13/17","26015","SORESINA (CR)",,,,"00108110198",1,,
166,"ROYAL VIV BUISMAN","P.O. Box 5","NL-3633","AR Vreeland",,"+31 (0) 294 231747","+31 (0) 294 233054",,0,1,
174,"Agral S.A.","1 rue du Brabant Wallon","B 6180","COURCELLES",,"+32 (0) 71 46 01 42","		+32 (0)71 45 14 61",,0,1,
178,"CHEESE FILATA SOLUTIONS LTD","29,Greenlawns, Skerries, Co.","DUBLIN",,,,,"IE 9770093L",0,,
179,"ALIVAL SPA","VIA PORRIONE 118/122","51019","PONTE BUGGIANESE (PT)",,"0572932462","0572932411","11412360965",1,1,2
182,"BARENTZ SERVICE SPA","VIA PRIVATA GOITO, 8","20037","PADERNO DUGNANO (MI)",,,,"IT05015600967",1,1,2
219,"RAPUNZEL",,,,,,,,0,1,
222,"Pannontej Zrt.(gruppo Bongrain)",,,,,"+36 1 455 5009","+36 1 455 5000",,0,1,
225,"FOOD BROKER",,,,,"		+40 232 219 029","		+40 744 795 325",,0,1,
226,"TOSI & G. S.R.L.","VIA RISORGIMENTO 32","20059","VIMERCATE - MB",,"0396082895","0396082910",,1,1,2
229,"AZIENDA AGRICOLA BRUGNOLI F.lli","Vischeto, 131","43032","Bardi - Parma",,,," 02097490342",1,1,2
231,"ALIMENTA SRL","VIA GALASSI, 2","09131","CAGLIARI",,,,"02225700927",1,,
56,"INTERFOOD POLSKA SP. ZO.O","UL.MADALINSKIEGO 20/1C","02513","WARSZAVA, POLONIA",,,,"5262385104",0,1,
232,"3A LATTEARBOREA S.COOP. P.A.","STRADA 14 EST BIS","09092","ARBOREA",,"783800642","783804001","00029780954",1,1,
235,"Ostmilch  Handels GmbH","Kurfürstendamm 63","10707","Berlin",,"+49(0)1757214093","0049(30)3377398-26","DE 153346223",0,1,
236,"ALPENRIND GMBH","Metzgerstrasse 67","5020"," Salzburg",,"+43 662 457 854 3059","+43 662 457 854 305","43716608",0,1,
242,"XCHANCE GMBH&CO KG","BAUMSCHULENALLEE 20-22","30625","HANNOVER",,,,"DE275586715",0,1,
243,"SOCIETE EUROSER  SAS","5,BIS PASSAGE du Jeu de Paume","BP 41","F-89202 AVALLON Cedex",,,,"FR 04413730961",0,,
244,"CASEIFICIO PUGLIESE SPA","Via E. Elia, 10","10020","Lauriano",,"0119146496","01112173100","04443400017",1,,
